FEATURES_DESC_006A,FACILITY_CARRIED_007,LAT_016,LONG_017,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,CHANNEL_COND_061,CULVERT_COND_062,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,Culvert_Damage,SVCYR,ADT,Reconst,PTRUCK
'DRAW                    ','ACCESS RD         ',30292408,97383282,2008,2,200,7.9,25.9,2.1,7.9,0,0,7,8,0,0,0,0,0,10,200,0,0
'West Amarillo Creek     ','Brickplant Rd     ',35185702,101567620,2008,2,100,7.5,8,9.1,19.4,8,9.3,6,7,0,0,0,10,0,10,100,0,10
'BARNETT SLOUGH          ','SH 24             ',33180665,95504535,1930,2,5000,11.6,11.6,1.8,8.5,0,0,7,7,1,0,1962,16,0,56,5000,1,16
'HONEY CREEK             ','SH 24             ',33200659,95460114,1934,4,4460,11.9,11.9,3,10.4,0,0,6,6,1,0,1959,17,1,59,4460,1,17
'DRAIN                   ','SH 24             ',33225759,95413327,1967,4,3970,21.3,10.7,3,6.7,0,0,6,6,1,0,0,19,1,51,3970,0,19
'JOHNS CREEK BRANCH      ','FM 64             ',33224077,95470955,1962,2,230,7.3,7.8,3,15.2,7.8,12,6,6,0,0,0,9,1,56,230,0,9
'DRAW                    ','FM 64             ',33223980,95454057,1962,2,420,6.7,8.6,3,9.8,8.6,10.2,6,6,0,0,0,10,1,56,420,0,10
'DOCTORS CREEK REL       ','FM 64             ',33223938,95435157,1962,2,420,6.7,8.7,2.4,13.1,8.7,10.4,7,7,0,0,0,10,0,56,420,0,10
'BIG CREEK RELIEF        ','SH 154            ',33220879,95392465,1990,2,860,7.3,13.3,3,18.6,13.3,14,7,7,0,0,0,26,0,28,860,0,26
'BIG CREEK BRANCH        ','SH 154            ',33220136,95383512,1990,2,860,7.3,13.3,3,9.1,13.3,14,7,7,0,0,0,26,0,28,860,0,26
'BOYD BRANCH             ','SH 19             ',33220005,95363106,1942,2,3390,13.4,13.4,2.4,8.2,0,0,6,7,1,0,1969,15,0,49,3390,1,15
'E FORK BIG CREEK        ','FM 128            ',33271263,95421834,1954,2,100,6.1,11.6,3,6.7,11.6,12,7,7,0,0,1960,16,0,58,100,1,16
'E FORK BIG CREEK        ','FM 128            ',33264262,95415658,1962,2,100,6.1,9.8,3,10.1,9.8,10.2,7,6,0,0,0,16,1,56,100,0,16
'JOHNS CREEK             ','FM 3388           ',33225905,95462807,2012,2,130,7.3,9.1,2.7,12.5,9.1,9.8,8,7,0,0,0,23,0,6,130,0,23
'DRAW                    ','FM 198            ',33270166,95354413,1950,2,160,6.7,6.7,1.5,7,0,0,7,7,0,0,1963,26,0,55,160,1,26
'E FORK JERNIGAN CRK REL ','FM 2068           ',33204034,95482990,1955,2,130,6.1,8.5,2.1,7,8.5,8.9,7,7,0,0,0,23,0,63,130,0,23
'DRAW                    ','FM 2068           ',33203954,95481551,1955,2,130,6.1,8.5,2.1,9.4,8.5,8.9,7,7,0,0,0,23,0,63,130,0,23
'Lake Creek Relief       ','FM 895            ',33241528,95304395,1951,2,160,6.1,5.9,3,13.1,5.9,6.4,7,5,0,0,0,28,1,67,160,0,28
'E FORK JERNIGAN CREEK   ','FM 904            ',33244019,95513060,1956,2,320,7.3,17.1,2.4,8.2,0,0,7,6,0,0,1990,20,1,28,320,1,20
'DRAW                    ','FM 904            ',33245766,95513012,1956,2,320,7.3,7.3,2.4,7.6,0,0,6,6,0,0,1990,20,1,28,320,1,20
'DRAW                    ','FM 1528           ',33215044,95412005,2000,2,1450,7.3,9.4,2.4,8.8,9.4,17.8,7,7,0,0,0,10,0,18,1450,0,10
'BIG CREEK BRANCH        ','FM 1529           ',33225632,95390712,1968,2,1120,7.3,10.1,3,6.7,7.3,10.8,7,7,0,0,0,12,0,50,1120,0,12
